trade_date,close,label,proxy_source
20260523,6.78779,美元指数代理,USDCNH
20260524,6.7827,美元指数代理,USDCNH
20260525,6.78483,美元指数代理,USDCNH
20260526,6.77859,美元指数代理,USDCNH
20260527,6.76903,美元指数代理,USDCNH
20260528,6.76331,美元指数代理,USDCNH
20260530,6.75911,美元指数代理,USDCNH
20260531,6.76451,美元指数代理,USDCNH
20260601,6.76137,美元指数代理,USDCNH
20260602,6.7799,美元指数代理,USDCNH
20260603,6.77629,美元指数代理,USDCNH
20260604,6.78974,美元指数代理,USDCNH
20260606,6.78605,美元指数代理,USDCNH
20260607,6.78342,美元指数代理,USDCNH
20260608,6.77779,美元指数代理,USDCNH
20260609,6.7817,美元指数代理,USDCNH
20260610,6.7628,美元指数代理,USDCNH
20260611,6.76173,美元指数代理,USDCNH
20260613,6.76059,美元指数代理,USDCNH
20260614,6.75879,美元指数代理,USDCNH
20260615,6.75604,美元指数代理,USDCNH
20260616,6.77543,美元指数代理,USDCNH
20260617,6.77778,美元指数代理,USDCNH
20260618,6.77853,美元指数代理,USDCNH
20260620,6.77982,美元指数代理,USDCNH
20260621,6.7777,美元指数代理,USDCNH
20260622,6.79442,美元指数代理,USDCNH
20260623,6.8127,美元指数代理,USDCNH
20260624,6.80091,美元指数代理,USDCNH
20260625,6.80295,美元指数代理,USDCNH
20260627,6.79672,美元指数代理,USDCNH
20260628,6.80022,美元指数代理,USDCNH
20260629,6.79119,美元指数代理,USDCNH
20260630,6.79361,美元指数代理,USDCNH
20260701,6.78844,美元指数代理,USDCNH
20260702,6.78374,美元指数代理,USDCNH
20260704,6.78096,美元指数代理,USDCNH
20260705,6.79393,美元指数代理,USDCNH
20260706,6.7939,美元指数代理,USDCNH
